callable	what_changed	covering_evidence	sha256
tests/a4_pipeline.py	stage filter + preservation	test_recovery_wrappers_1741 (4 filter cases) + test_stage_propagation (53)	b1e655d221b1abadaa1e64fca5862ff90e77deaf363bfb77f1eaaec6ad8e9076
tests/build_1501_map.py	bind map: era A6 by hash, lock superset, runs_rw, out/ replay	every boundary run today (map built 20+ times); test_placement_rules (11)	3020b49997e2576262301f999d143ff9cd5bfef716ecc71a2a490bb51bde0442
tests/seed_runs_rw.py	materialise a round's writable run dir	test_recovery_wrappers_1741 (differing byte refused; identical accepted); rounds 2 and 3 used it	ec5c5d44cfeeed64276acb27a4038d370031f813cbc7fa5083f9bfaef2746c8e
tests/place_era_owner.py	put one era owner in the bench, by hash	test_recovery_wrappers_1741 (unknown hash, unknown name); 3 real placements logged in manifest/BENCH_OWNER_SWAPS.tsv	30fc34b99e18cfe08e8f47afeec12bd631d1a0d1125a50194297f2987fd88a3e
tests/extract_budget_chain.py	take a recorded program out of its own record	used for both chains; refuses a record with no owning program (observed on 83500 and 87448)	113b324395c0627fd72891303451c82c2e45cbd1a5e01bddacf5069663c8a822
tests/run_a4.sh	one boundary run; A4_STEPS/A4_ROUND/A4_LEDGER/A4_A6 passthrough	every run today	9c8d1ecc3fe2f0dd23abfac3bf2d3b49ee1a8191d07d8e9d119b58b11f3d874a
tests/freeze_1741.py	this freeze	its own output: MANIFEST/EVIDENCE/UNCHANGED/WHITELIST	8c46444d2eeebff6d2a8e2c65d26e7774500f837f99980332c61c533afbc2460
reconstruct/budget_receipt_1508.py	run the corrected generator, gate ae27f66f	executed (BUDGET_1508_OK); test_recovery_wrappers_1741 wrong-generator cases	87db5ec57aa69318caccb28c228c0843cb54dc0cb3b9923fbf59f8cd7fcdaa10
reconstruct/evidence_1509.py	derive the round-3 evidence helper from its records	executed (EVIDENCE_1509_OK) after a RED run that refused an incomplete helper	b719aa9bd550e2fd017c0623c65d02320854a8f1606efca09c3ba28872013f4a
reconstruct/build_final_candidate.py	run the builder, gate the verifier	test_build_wrapper_refusal (6, RED then GREEN); executed (BUILD_CANDIDATE_OK)	b0865e347872722091f903151fbe09d3a694b960d47d2167e21503d8c01b86fe
reconstruct/harvest_final_sign_run.py	harvest the saved signer state	executed (HARVEST_OK); nonzero-child branch in test_recovery_wrappers_1741	7e2fa21e7eec076d183b0eb9765fde6986efbe53716aad7d161a2010d6e257d8
reconstruct/check_final_key_candidate.py	real pytest over the frozen four-case selection	executed (4 passed); test_recovery_wrappers_1741 (5 skip/short/failure cases)	7767597663224b85dfdc37023cd83d9de3bf19b58dd037bb9361393041df3cc1
reconstruct/build_final_key_lock_run.py	run the saved lock builder once, gate its identities	executed (LOCK_OK: lock 63018354, receipt 7f1f7bef, 28/28 mutations refuse)	6a60c5a5c9ebdbf5e3ad6facafa253daf10c2df146b1506896634fca4fe44691
reconstruct/ledger_check.py	fresh-process ledger gate	executed at 5217 and 5219; missing-input case in test_recovery_wrappers_1741	a7dbb63d686c13cfbb03fe60c50290897dfe370e8d8a277e51aca4acebbc2eb3
a4_owner_1726/patch_replay.py	replay one saved patch on proved preimages	produced 960ebdeb, cdd008c1, f323b7bc; refuses when no proved preimage hashes the pin	ec4183f298b16b13c5e3b007abaa74bab71c626744348b97fa1ba8adefc05f27
