ticker,n_AB,d_correct,d_wrong,d_fc,h2_rule,g2_recovery,bucket,why,recoverable
ACI,13,0,0,13,PASS,13/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 13 fail-closed rows recoverable to AUTO_OK_CORRECT
ANF,9,0,0,9,PASS,7/2,🟡 H2_FALSE_NEGATIVE_INVESTIGATE,H2 rule says 'safe' but Goal 6a measurement showed some new wrongs. Agent 5 hypothesizes these are mostly Tier-B audit-truth-label errors (back-references like 'Q2 2022' inside Q2-2023 press releases). Verification needed.,PROBABLY YES if audit-truth-errors verified
ASO,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
BJ,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
BOX,13,6,0,7,FAIL,0/6,🔵 H2_GATES_CORRECTLY_TO_FAIL_CLOSED,"Agent 5's H2 rule correctly identifies these as unsafe. They stay fail-closed (no recovery, no wrong-fire). Same as today's behavior. (Agent 2 + 5)",NO — but H2 prevents wrong-fires
BURL,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
CHWY,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
CNM,12,0,0,12,PASS,11/1,🟡 H2_FALSE_NEGATIVE_INVESTIGATE,H2 rule says 'safe' but Goal 6a measurement showed some new wrongs. Agent 5 hypothesizes these are mostly Tier-B audit-truth-label errors (back-references like 'Q2 2022' inside Q2-2023 press releases). Verification needed.,PROBABLY YES if audit-truth-errors verified
DKS,10,0,0,10,PASS,5/5,🟡 H2_FALSE_NEGATIVE_INVESTIGATE,H2 rule says 'safe' but Goal 6a measurement showed some new wrongs. Agent 5 hypothesizes these are mostly Tier-B audit-truth-label errors (back-references like 'Q2 2022' inside Q2-2023 press releases). Verification needed.,PROBABLY YES if audit-truth-errors verified
DLTR,12,0,0,12,PASS,12/0,🟢 SAFE_SILLY_RECOVERABLE,H2 rule says 'safe' AND empirically G2 recovers all FC rows with zero collateral. Agent 1 confirmed mechanism on 5 sample tickers.,YES — 12 fail-closed rows recoverable to AUTO_OK_CORRECT
