id,title,category,expected,predicted,correct,confidence,needs_llm,method
test_0,Tesla Gross Margins Under Pressure,edge_trend,False,False,True,0.8,True,No strong earnings indicators
test_1,IBM Leads S&P 500 Jumps with 7% Gain,market_reaction_earnings,True,False,False,0.8,False,No strong earnings indicators
test_2,Target Quarterly Earnings Exceed Analyst Expectations,explicit_earnings,True,True,True,0.98,False,Definitive earnings pattern
test_3,Microsoft Opens New R&D Lab in Europe,corporate,False,False,True,0.8,False,No strong earnings indicators
test_4,Pfizer Begins Phase 2 Trial of Therapy-A for Cancer,medical,False,False,True,0.97,False,Definitive non-earnings pattern
test_5,Moderna Appoints John Smith as New President,corporate,False,False,True,0.8,False,No strong earnings indicators
test_6,"Tesla Reports Q3 2024 Earnings: Revenue $89.0B, EPS $4.68 Beats $4.58 Estimate",explicit_earnings,True,True,True,0.98,False,Definitive earnings pattern
test_7,Walmart Announces $12B Acquisition of DataCorp,corporate,False,False,True,0.97,False,Definitive non-earnings pattern
test_8,Goldman Sachs Cuts Revenue Guidance Citing Weak Demand,guidance,True,False,False,0.8,True,No strong earnings indicators
test_9,"Oracle Reports Q4 2023 Earnings: Revenue $123.8B, EPS $0.64 Beats $0.67 Estimate",explicit_earnings,True,True,True,0.98,False,Definitive earnings pattern
test_10,Amazon Prime Day Sales Hit New Record,edge_operational,False,False,True,0.8,True,No strong earnings indicators
test_11,Apple Boosts Full-Year Profit Forecast Amid Strong Demand,guidance,True,False,False,0.8,True,No strong earnings indicators
test_12,Salesforce Stock Rallies 4% After Product Launch,market_reaction_other,False,False,True,0.8,True,No strong earnings indicators
test_13,"Oracle Reports Mixed Q2 Results: Revenue Beat, EPS Miss",explicit_earnings,True,True,True,0.98,False,Definitive earnings pattern
test_14,Salesforce Reaffirms 24 Financial Targets,guidance,True,False,False,0.8,True,No strong earnings indicators
test_15,Nike Announces Q4 Earnings Beat: EPS $2.06 vs $1.96 Expected,explicit_earnings,True,True,True,0.7,True,3 weak indicators
test_16,Bank of America Q1 Earnings Call Scheduled for Tuesday After Market Close,explicit_earnings,True,True,True,0.98,False,Definitive earnings pattern
test_17,Gilead Begins Phase 2 Trial of Drug-X for Diabetes,medical,False,False,True,0.97,False,Definitive non-earnings pattern
test_18,Oracle Maintains 2024 Sales Guidance Despite Headwinds,guidance,True,True,True,0.7,True,3 weak indicators
test_19,Target Opens New Office in California,corporate,False,False,True,0.8,False,No strong earnings indicators
test_20,"Amazon Announces 5,000 Job Cuts Amid Restructuring",corporate,False,False,True,0.8,True,No strong earnings indicators
test_21,Microsoft CFO Amy Hood to Present at Morgan Stanley Conference,edge_conference,False,False,True,0.8,False,No strong earnings indicators
